,Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,City,State
13710,20010110X00213,Accident,MIA86FA053,1986-01-01,United States,,,Fatal(1),Destroyed,Airplane,N21760,cessna,172m,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1986,1,1,cessna 172m,172,ST. MARYS, GA
13714,20010110X00233,Accident,MKC86LA044,1986-01-01,United States,OJC,JOHNSON CTY. EXEC.,Non-Fatal,Substantial,Airplane,N4682J,piper,pa28r180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,1,piper pa28r180,pa-28,OLATHE, KS
13715,20010110X00232,Accident,MKC86LA043,1986-01-01,United States,MCI,KANSAS CITY INTERNATIONAL,Non-Fatal,Substantial,Airplane,N733NF,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1986,1,1,cessna 172n,172,KANSAS CITY, MO
13717,20010110X00188,Accident,LAX86FA079,1986-01-02,United States,SEE,GILLESPIE FIELD,Fatal(4),Destroyed,Airplane,N4318V,piper,pa28181,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1986,1,2,piper pa28181,pa-28,EL CAJON, CA
13719,20010110X00218,Accident,MIA86LA054,1986-01-02,United States,,,Non-Fatal,Substantial,Airplane,N7692G,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1986,1,2,cessna 150l,150,BOCA RATON, FL
13727,20010110X00113,Accident,ATL86LA052,1986-01-03,United States,CPC,COLUMBUS COUNTY MUNI,Non-Fatal,Substantial,Airplane,N66218,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,1986,1,3,cessna 150m,150,WHITEVILLE, NC
13730,20010110X00169,Accident,FTW86FRD04,1986-01-04,United States,,,Non-Fatal,Substantial,Airplane,N50560,cessna,150j,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Cruise,Probable Cause,1986,1,4,cessna 150j,150,BELLE CHASSE, LA
13731,20010110X00155,Accident,DEN86LA063,1986-01-04,United States,D54,WEST FARGO UTILITY,Non-Fatal,Substantial,Airplane,N23148,cessna,150h,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,4,cessna 150h,150,WEST FARGO, ND
13732,20010110X00258,Accident,SEA86FA035,1986-01-05,United States,,,Fatal(2),Destroyed,Airplane,N43552,piper,pa28151,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1986,1,5,piper pa28151,pa-28,KELSO, WA
13733,20010110X00178,Accident,FTW86LRA03,1986-01-05,United States,,,Non-Fatal,Destroyed,Airplane,N8267U,cessna,172f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,1986,1,5,cessna 172f,172,SARATOGA, TX
13736,20010110X00234,Accident,MKC86LA045,1986-01-05,United States,1H0,CREVE CEOUR,Non-Fatal,Substantial,Airplane,N4349J,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,1986,1,5,piper pa28140,pa-28,CREVE CEOUR, MO
13737,20010110X00129,Accident,CHI86LA060,1986-01-05,United States,AID,ANDERSON,Non-Fatal,Substantial,Airplane,N8521X,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,1986,1,5,cessna 172m,172,ANDERSON, IN
13738,20010110X00128,Accident,CHI86LA058,1986-01-05,United States,DPA,DUPAGE AIRPORT,Non-Fatal,Substantial,Airplane,N6422Q,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1986,1,5,cessna 152,152,WEST CHICAGO, IL
